,country
639,Chile
640,US
641,US
642,Australia
643,Chile
644,Italy
645,Italy
646,Italy
647,Chile
648,Hungary
649,Australia
650,Italy
651,US
652,Italy
653,Chile
654,US
655,US
656,Australia
657,France
658,Chile
659,Spain
660,Spain
661,Chile
662,US
663,Italy
664,Israel
665,Italy
666,Italy
667,Italy
668,Chile
669,Australia
670,Chile
671,Italy
672,Italy
673,Spain
674,Italy
675,France
676,France
677,Chile
678,US
679,Italy
680,Italy
681,Australia
682,Austria
683,Chile
684,Portugal
685,Australia
686,US
687,Chile
688,Italy
689,Chile
690,Australia
691,Spain
692,France
693,US
694,Spain
695,Italy
696,Australia
697,France
698,US
699,Italy
700,France
701,Italy
702,Portugal
703,South Africa
704,Italy
705,Spain
706,New Zealand
707,Italy
708,Australia
709,Chile
710,Australia
711,US
712,New Zealand
713,Chile
714,Spain
715,Italy
716,Spain
717,Spain
718,Chile
719,Chile
720,Spain
721,Australia
722,France
723,US
724,Italy
725,Portugal
726,Italy
727,Spain
728,Italy
729,Spain
730,Italy
731,France
732,France
733,Italy
734,Italy
735,Italy
736,Portugal
737,Hungary
738,Italy
739,Australia
740,Chile
741,US
742,Italy
743,France
744,Italy
745,Hungary
746,Spain
747,Portugal
748,Italy
749,Portugal
750,Italy
751,Italy
752,Spain
753,US
754,Australia
755,Portugal
756,Italy
757,US
758,Australia
759,France
760,Italy
761,Italy
762,France
763,Italy
764,Italy
765,Italy
766,Italy
767,Australia
768,US
769,US
770,France
771,Italy
772,Italy
773,Italy
774,Italy
775,Italy
776,Italy
777,Spain
778,Italy
779,US
780,US
781,Spain
782,Spain
783,Chile
784,US
785,Argentina
786,France
787,Australia
788,Spain
789,Italy
790,Italy
791,Spain
792,US
793,Portugal
794,South Africa
795,Italy
796,Chile
797,US
798,Australia
799,Australia
800,Italy
801,Austria
802,Spain
803,Spain
804,US
805,US
806,South Africa
807,Spain
808,France
809,Italy
810,Italy
811,Hungary
812,Greece
813,Austria
814,Australia
815,Italy
816,France
817,Greece
818,Italy
819,Spain
820,Spain
821,Italy
822,Spain
823,France
824,France
825,Italy
826,Italy
827,Spain
828,France
829,Italy
830,Italy
831,Italy
832,Italy
833,Spain
834,Portugal
835,Spain
836,Italy
837,Spain
838,Italy
839,France
840,Spain
841,Italy
842,Hungary
843,Spain
844,Spain
845,Hungary
846,South Africa
847,US
848,Italy
849,Spain
850,Portugal
851,France
852,US
853,US
854,Portugal
855,Italy
856,France
857,Australia
858,Italy
859,France
860,Italy
861,US
862,Italy
863,Italy
864,France
865,Italy
866,Chile
867,US
868,Italy
869,France
870,Spain
871,France
872,France
873,US
874,US
875,Italy
876,US
877,US
878,Italy
879,Israel
880,Italy
881,Spain
882,Italy
883,Israel
884,Portugal
885,US
886,US
887,US
888,US
889,US
890,Spain
891,US
892,US
893,Italy
894,Spain
895,US
896,Italy
897,Italy
898,Portugal
899,Italy
900,US
901,Spain
902,Italy
903,Italy
904,Italy
905,US
906,Italy
907,US
908,New Zealand
909,US
910,US
911,Italy
912,Portugal
913,Spain
914,South Africa
915,US
916,Italy
917,Italy
918,US
919,France
920,US
921,Portugal
922,Argentina
923,Spain
924,US
925,South Africa
926,US
927,Italy
928,US
929,Spain
930,Italy
931,US
932,Italy
933,Italy
934,Argentina
935,France
936,Spain
937,France
938,Italy
939,US
940,Italy
941,Italy
942,Spain
943,France
944,Italy
945,US
946,Italy
947,Italy
948,Spain
949,Italy
950,South Africa
951,US
952,Argentina
953,US
954,Portugal
955,US
956,Slovenia
957,Italy
958,Italy
959,Chile
960,Portugal
961,Austria
962,Italy
963,Portugal
964,US
965,Italy
966,US
967,Spain
968,Argentina
969,Italy
970,US
971,Italy
972,Canada
973,Italy
974,US
975,US
976,Italy
977,Italy
978,US
979,Spain
980,US
981,Italy
982,Italy
983,Italy
984,Italy
985,US
986,Austria
987,US
988,Italy
989,South Africa
990,Italy
991,Spain
992,US
993,Italy
994,Italy
995,US
996,Italy
997,Italy
998,Italy
999,Spain
1000,Portugal
1001,US
1002,Spain
1003,Spain
1004,US
1005,US
1006,Portugal
1007,Austria
1008,US
1009,Italy
1010,Italy
1011,Spain
1012,US
1013,Portugal
1014,US
1015,Chile
1016,US
1017,Italy
1018,US
1019,US
1020,Italy
1021,Italy
1022,Australia
1023,US
1024,France
1025,US
1026,Spain
1027,Australia
1028,Italy
1029,US
1030,US
1031,US
1032,France
1033,Australia
1034,Italy
1035,Austria
1036,Italy
1037,France
1038,Italy
1039,US
1040,Italy
1041,Italy
1042,Spain
1043,Italy
1044,Austria
1045,Israel
1046,France
1047,Israel
1048,US
1049,US
1050,Italy
1051,Italy
1052,Italy
1053,Italy
1054,Argentina
1055,Spain
1056,Spain
1057,France
1058,US
1059,Italy
1060,Spain
1061,US
1062,Spain
1063,US
1064,Spain
1065,Italy
1066,Italy
1067,US
1068,Spain
1069,US
1070,South Africa
1071,Australia
1072,US
1073,Italy
1074,France
1075,Italy
1076,US
1077,Italy
1078,US
1079,US
1080,Spain
1081,France
1082,Italy
1083,US
1084,US
1085,Italy
1086,US
1087,Italy
1088,France
1089,Australia
1090,Australia
1091,US
1092,US
1093,Italy
1094,Italy
1095,Austria
1096,France
1097,Italy
1098,US
1099,South Africa
1100,Italy
1101,Italy
1102,US
1103,Spain
1104,Italy
1105,Italy
1106,US
1107,Portugal
1108,Italy
1109,Italy
1110,France
1111,US
1112,Italy
1113,Italy
1114,US
1115,Italy
1116,Italy
1117,Spain
1118,US
1119,US
1120,France
1121,US
1122,Italy
1123,Italy
1124,Italy
1125,Italy
1126,Spain
1127,Italy
1128,Italy
1129,Italy
1130,Australia
1131,US
1132,New Zealand
1133,US
1134,Italy
1135,Chile
1136,US
1137,Australia
1138,Italy
1139,Italy
1140,Italy
1141,South Africa
1142,Italy
1143,Italy
1144,Italy
1145,Australia
1146,France
1147,Italy
1148,South Africa
1149,Spain
1150,Italy
1151,Italy
1152,Italy
1153,US
1154,US
1155,Argentina
1156,Italy
1157,Italy
1158,Italy
1159,US
1160,US
1161,Spain
1162,Argentina
1163,Spain
1164,US
1165,US
1166,US
1167,Australia
1168,Italy
1169,US
1170,Italy
1171,France
1172,Spain
1173,US
1174,Spain
1175,Italy
1176,Spain
1177,US
1178,US
1179,US
1180,US
1181,Australia
1182,US
1183,Italy
1184,US
1185,US
1186,US
1187,US
1188,Portugal
1189,Spain
1190,US
1191,US
1192,Australia
1193,Italy
1194,US
1195,US
1196,US
1197,Italy
1198,Argentina
1199,Australia
1200,US
1201,France
1202,US
1203,US
1204,Italy
1205,France
1206,Italy
1207,South Africa
1208,Italy
1209,US
1210,Spain
1211,US
1212,France
1213,Austria
1214,US
1215,US
1216,Argentina
1217,US
1218,France
1219,Spain
1220,Italy
1221,US
1222,US
1223,France
1224,Italy
1225,US
1226,US
1227,US
1228,US
1229,France
1230,US
1231,Italy
1232,US
1233,US
1234,US
1235,US
1236,Greece
1237,Spain
1238,France
1239,Italy
1240,US
1241,Australia
1242,US
1243,Germany
1244,Italy
1245,France
1246,New Zealand
1247,Italy
1248,Italy
1249,Italy
1250,Argentina
1251,Spain
1252,US
1253,Italy
1254,US
1255,US
1256,Chile
1257,Spain
1258,Italy
1259,US
1260,Italy
1261,Italy
1262,US
1263,Australia
1264,France
1265,US
1266,US
1267,US
1268,US
1269,US
1270,France
1271,France
1272,US
1273,US
1274,Italy
1275,Italy
1276,US
1277,France
1278,Portugal
1279,Spain
1280,Australia
1281,Greece
1282,US
1283,France
1284,Italy
1285,France
1286,Spain
1287,US
1288,Portugal
1289,US
1290,Italy
1291,Spain
1292,Italy
1293,Italy
1294,US
1295,Italy
1296,Italy
1297,Australia
1298,France
1299,Italy
1300,US
1301,US
1302,South Africa
1303,France
1304,US
1305,US
1306,US
1307,US
1308,Italy
1309,US
1310,Australia
1311,Argentina
1312,US
1313,Australia
1314,US
1315,US
1316,Chile
1317,Germany
1318,Spain
1319,Chile
1320,US
1321,US
1322,US
1323,US
1324,US
1325,US
1326,US
1327,US
1328,US
1329,Australia
1330,Argentina
1331,France
1332,Italy
1333,US
1334,New Zealand
1335,Austria
1336,France
1337,France
1338,Italy
1339,Chile
1340,US
1341,Italy
1342,US
1343,Italy
1344,Portugal
1345,Italy
1346,Italy
1347,US
1348,US
1349,US
1350,Australia
1351,France
1352,Chile
1353,US
1354,US
1355,Italy
1356,Italy
1357,Australia
1358,France
1359,US
1360,France
1361,US
1362,South Africa
1363,US
1364,France
1365,US
1366,France
1367,US
1368,US
1369,South Africa
1370,Australia
1371,US
1372,US
1373,France
1374,US
1375,Spain
1376,US
1377,France
1378,US
1379,US
1380,US
1381,Italy
1382,US
1383,US
1384,US
1385,Australia
1386,Italy
1387,Australia
1388,US
1389,US
1390,US
1391,US
1392,Italy
1393,France
1394,Italy
1395,France
1396,Italy
1397,US
1398,Greece
1399,US
1400,Spain
1401,US
1402,US
1403,Portugal
1404,US
1405,Italy
1406,Australia
1407,Italy
1408,US
1409,Spain
1410,Argentina
1411,US
1412,Italy
1413,Italy
1414,Australia
1415,Italy
1416,US
1417,Italy
1418,Italy
1419,US
1420,US
1421,Italy
1422,France
1423,Italy
1424,Italy
1425,Italy
1426,US
1427,France
1428,US
1429,US
1430,Australia
1431,Italy
1432,Spain
1433,US
1434,US
1435,France
1436,US
1437,Spain
1438,Portugal
1439,Portugal
1440,Italy
1441,Portugal
1442,Italy
1443,Italy
1444,US
1445,Italy
1446,Spain
1447,Italy
1448,US
1449,France
1450,US
1451,Spain
1452,Spain
1453,Chile
1454,France
1455,US
1456,US
1457,US
1458,Spain
1459,France
1460,France
1461,US
1462,Italy
1463,Italy
1464,US
1465,US
1466,France
1467,US
1468,US
1469,Italy
1470,US
1471,US
1472,Italy
1473,Italy
1474,Argentina
1475,New Zealand
1476,Italy
1477,Italy
1478,Spain
1479,France
1480,Israel
1481,Italy
1482,Austria
1483,Italy
1484,Italy
1485,France
1486,France
1487,Italy
1488,Italy
1489,US
1490,Italy
1491,US
1492,France
1493,Italy
1494,Italy
1495,Argentina
1496,Italy
1497,France
1498,Italy
1499,US
1500,US
1501,Italy
1502,US
1503,Italy
1504,Italy
1505,France
1506,Spain
1507,Italy
1508,US
1509,US
1510,South Africa
1511,Portugal
1512,Portugal
1513,Australia
1514,Chile
1515,Italy
1516,US
1517,Chile
1518,Italy
1519,Italy
1520,Portugal
1521,US
1522,Italy
1523,Italy
1524,US
1525,Italy
1526,Italy
1527,Italy
1528,US
1529,US
1530,France
1531,US
1532,Italy
1533,Italy
1534,US
1535,US
1536,US
1537,France
1538,US
1539,Italy
1540,Italy
1541,Australia
1542,Portugal
1543,US
1544,US
1545,Australia
1546,US
1547,US
1548,Portugal
1549,Spain
1550,Italy
1551,Argentina
1552,US
1553,Argentina
1554,Italy
1555,France
1556,Italy
1557,US
1558,US
1559,France
1560,US
1561,Spain
1562,France
1563,US
1564,US
1565,France
1566,Israel
1567,US
1568,US
1569,Portugal
1570,US
1571,France
1572,France
1573,France
1574,US
1575,France
1576,Romania
1577,Chile
1578,Italy
1579,US
1580,South Africa
1581,Australia
1582,US
1583,US
1584,US
1585,US
1586,US
1587,Italy
1588,US
1589,US
1590,Italy
1591,Italy
1592,Spain
1593,US
1594,US
1595,Argentina
1596,Italy
1597,US
1598,France
1599,US
1600,US
1601,Australia
1602,US
1603,Spain
1604,Austria
1605,US
1606,Spain
1607,US
1608,US
1609,Italy
1610,Argentina
1611,US
1612,Spain
1613,US
1614,Austria
1615,US
1616,France
1617,US
1618,US
1619,Portugal
1620,France
1621,US
1622,US
1623,Spain
1624,US
1625,France
1626,US
1627,US
1628,US
1629,US
1630,US
1631,France
1632,US
1633,Italy
1634,Austria
1635,Italy
1636,Spain
1637,Italy
1638,Spain
1639,US
1640,France
1641,US
1642,France
1643,Italy
1644,US
1645,Spain
1646,US
1647,US
1648,Italy
1649,US
1650,US
1651,US
1652,Austria
1653,Spain
1654,Germany
1655,US
1656,US
1657,Italy
1658,Italy
1659,US
1660,Argentina
1661,US
1662,US
1663,Italy
1664,France
1665,Spain
1666,Italy
1667,US
1668,US
1669,Spain
1670,US
1671,France
1672,US
1673,Italy
1674,France
1675,Italy
1676,France
1677,US
1678,Italy
1679,US
1680,Portugal
1681,France
1682,US
1683,US
1684,Greece
1685,US
1686,France
1687,Italy
1688,Chile
1689,Argentina
1690,France
1691,Portugal
1692,Australia
1693,US
1694,US
1695,France
1696,Italy
1697,US
1698,Australia
1699,US
1700,Italy
1701,France
1702,Spain
1703,Italy
1704,US
1705,Italy
1706,Spain
1707,US
1708,US
1709,Spain
1710,Spain
1711,South Africa
1712,US
1713,US
1714,Italy
1715,Chile
1716,New Zealand
1717,US
1718,Australia
1719,Portugal
1720,US
1721,Australia
1722,Italy
1723,Italy
1724,US
1725,US
1726,Italy
1727,US
1728,US
1729,Italy
1730,US
1731,France
1732,US
1733,Spain
1734,US
1735,Spain
1736,Italy
1737,US
1738,Italy
1739,France
1740,Italy
1741,Spain
1742,US
1743,Italy
1744,France
1745,US
1746,US
1747,Italy
1748,US
1749,US
1750,US
1751,US
1752,US
1753,Italy
1754,US
1755,Italy
1756,US
1757,Italy
1758,US
1759,US
1760,US
1761,Argentina
1762,Australia
1763,US
1764,Italy
1765,France
1766,US
1767,Spain
1768,Italy
1769,Italy
1770,Australia
1771,France
1772,South Africa
1773,Portugal
1774,Spain
1775,Italy
1776,Portugal
1777,US
1778,Spain
1779,US
1780,US
1781,Spain
1782,US
1783,US
1784,US
1785,Italy
1786,Italy
1787,US
1788,US
1789,France
1790,US
1791,US
1792,US
1793,Israel
1794,France
1795,US
1796,US
1797,Germany
1798,US
1799,US
1800,France
1801,Spain
1802,France
1803,US
1804,US
1805,US
1806,Portugal
1807,Italy
1808,US
1809,France
1810,US
1811,US
1812,US
1813,US
1814,Australia
1815,US
1816,US
1817,US
1818,Spain
1819,France
1820,US
1821,US
1822,Italy
1823,France
1824,US
1825,South Africa
1826,Spain
1827,Australia
1828,Australia
1829,France
1830,US
1831,US
1832,Australia
1833,US
1834,US
1835,France
1836,Argentina
1837,US
1838,US
1839,US
1840,US
1841,US
1842,US
1843,US
1844,US
1845,Italy
1846,US
1847,Australia
1848,Spain
1849,Italy
1850,Spain
1851,US
1852,US
1853,Italy
1854,US
1855,US
1856,US
1857,Spain
1858,US
1859,France
1860,US
1861,US
1862,Italy
1863,Spain
1864,France
1865,US
1866,Italy
1867,US
1868,France
1869,Italy
1870,US
1871,Germany
1872,US
1873,Australia
1874,Italy
1875,US
1876,US
1877,US
1878,Spain
1879,US
1880,South Africa
1881,France
1882,US
1883,Australia
1884,Italy
1885,France
1886,Spain
1887,US
1888,Italy
1889,Australia
1890,US
1891,Portugal
1892,US
1893,US
1894,US
1895,Italy
1896,US
1897,Italy
1898,Italy
1899,France
1900,Italy
1901,US
1902,US
1903,US
1904,US
1905,Italy
1906,Chile
1907,France
1908,US
1909,Spain
1910,Italy
1911,US
1912,US
1913,US
1914,Chile
1915,Spain
1916,US
1917,Israel
1918,Italy
1919,Spain
1920,Italy
1921,Italy
1922,France
1923,Italy
1924,Italy
1925,France
1926,US
1927,US
1928,US
1929,US
1930,France
1931,US
1932,Spain
1933,US
1934,US
1935,US
1936,US
1937,US
1938,US
1939,Argentina
1940,Italy
1941,France
1942,Italy
1943,Italy
1944,Italy
1945,US
1946,US
1947,Spain
1948,Australia
1949,US
1950,US
1951,France
1952,US
1953,Croatia
1954,US
1955,US
1956,Australia
1957,Austria
1958,US
1959,Chile
1960,US
1961,Italy
1962,Portugal
1963,Italy
1964,US
1965,US
1966,New Zealand
1967,US
1968,France
1969,Spain
1970,US
1971,US
1972,Italy
1973,Greece
1974,Italy
1975,US
1976,Chile
1977,Australia
1978,US
1979,South Africa
1980,US
1981,US
1982,Austria
1983,Italy
1984,US
1985,Portugal
1986,US
1987,France
1988,France
1989,US
1990,Australia
1991,Argentina
1992,Italy
1993,Italy
1994,Spain
1995,Austria
1996,US
1997,Italy
1998,US
1999,South Africa
2000,US
2001,Italy
2002,Germany
2003,US
2004,US
2005,Italy
2006,US
2007,Austria
2008,Spain
2009,Portugal
2010,Spain
2011,Italy
2012,US
2013,France
2014,Chile
2015,US
2016,France
2017,France
2018,US
2019,US
2020,Italy
2021,Italy
2022,Germany
2023,US
2024,Italy
2025,Spain
2026,Germany
2027,Italy
2028,France
2029,US
2030,Portugal
2031,Italy
2032,Italy
2033,Germany
2034,US
2035,Argentina
2036,Spain
2037,US
2038,US
2039,US
2040,US
2041,US
2042,Italy
2043,Italy
2044,Portugal
2045,Italy
2046,France
2047,Italy
2048,France
2049,France
2050,US
2051,Portugal
2052,France
2053,Argentina
2054,Italy
2055,US
2056,US
2057,Italy
2058,US
2059,US
2060,US
2061,US
2062,US
2063,Italy
2064,US
2065,Italy
2066,US
2067,US
2068,France
2069,Israel
2070,US
2071,Austria
2072,Chile
2073,US
2074,Spain
2075,Germany
2076,Australia
2077,Italy
2078,US
2079,France
2080,Italy
2081,South Africa
2082,Italy
2083,US
2084,US
2085,Italy
2086,Argentina
2087,US
2088,US
2089,France
2090,Italy
2091,US
2092,Austria
2093,US
2094,Italy
2095,US
2096,US
2097,Germany
2098,Austria
2099,US
2100,US
2101,US
2102,US
2103,Italy
2104,US
2105,Italy
2106,US
2107,Argentina
2108,France
2109,Chile
2110,US
2111,US
2112,US
2113,Australia
2114,US
2115,Spain
2116,US
2117,US
2118,France
2119,Chile
2120,Australia
2121,US
2122,US
2123,Italy
2124,US
2125,US
2126,Italy
2127,Italy
2128,US
2129,Chile
2130,US
2131,Italy
2132,US
2133,Germany
2134,Italy
2135,US
2136,Italy
2137,Italy
2138,US
2139,US
2140,US
2141,US
2142,US
2143,Italy
2144,US
2145,Portugal
2146,Spain
2147,US
2148,US
2149,US
2150,US
2151,Italy
2152,US
2153,US
2154,US
2155,Italy
2156,US
2157,Spain
2158,Italy
2159,US
2160,France
2161,US
2162,US
2163,US
2164,US
2165,US
2166,Italy
2167,US
2168,US
2169,US
2170,Chile
2171,US
2172,Italy
2173,Italy
2174,Italy
2175,Italy
2176,US
2177,US
2178,France
2179,Italy
2180,US
2181,US
2182,Argentina
2183,US
2184,US
2185,US
2186,New Zealand
2187,US
2188,Italy
2189,US
2190,France
2191,US
2192,France
2193,Italy
2194,Chile
2195,Germany
2196,Italy
2197,France
2198,US
2199,US
2200,US
2201,Italy
2202,US
2203,US
2204,US
2205,Australia
2206,France
2207,US
2208,US
2209,US
2210,France
2211,US
2212,Italy
2213,US
2214,Italy
2215,Spain
2216,Austria
2217,Spain
2218,France
2219,Italy
2220,Italy
2221,France
2222,France
2223,US
2224,France
2225,Italy
2226,Italy
2227,France
2228,Chile
2229,US
2230,US
2231,Australia
2232,US
2233,US
2234,Italy
2235,US
2236,Chile
2237,Italy
2238,France
2239,Chile
2240,Germany
2241,US
2242,Spain
2243,Italy
2244,France
2245,Austria
2246,Italy
2247,Italy
2248,US
2249,Canada
2250,France
2251,US
2252,France
2253,Spain
2254,US
2255,US
2256,US
2257,US
2258,Italy
2259,Italy
2260,US
2261,US
2262,Italy
2263,Italy
2264,Argentina
2265,South Africa
2266,US
2267,US
2268,US
2269,France
2270,Italy
2271,France
2272,Italy
2273,US
2274,US
2275,Spain
2276,Italy
2277,US
2278,Italy
2279,Italy
2280,Austria
2281,Argentina
2282,US
2283,US
2284,Argentina
2285,US
2286,France
2287,Australia
2288,Italy
2289,US
2290,Italy
2291,Germany
2292,France
2293,Italy
2294,US
2295,US
2296,Australia
2297,Italy
2298,Spain
2299,Italy
2300,US
2301,Australia
2302,Italy
2303,Chile
2304,US
2305,France
2306,US
2307,Spain
2308,US
2309,Portugal
2310,US
2311,Argentina
2312,Italy
2313,US
2314,US
2315,Spain
2316,France
2317,US
2318,US
2319,US
2320,France
2321,US
2322,Italy
2323,US
2324,Italy
2325,Italy
2326,Italy
2327,Chile
2328,France
2329,Chile
2330,US
2331,US
2332,South Africa
2333,Portugal
2334,Bulgaria
2335,Australia
2336,US
2337,Italy
2338,Spain
2339,US
2340,US
2341,Argentina
2342,US
2343,US
2344,Italy
2345,US
2346,Austria
2347,US
2348,Italy
2349,Italy
2350,Chile
2351,Italy
2352,US
2353,US
2354,US
2355,Italy
2356,US
2357,Italy
2358,Spain
2359,France
2360,US
2361,US
2362,Spain
2363,US
2364,US
2365,Italy
2366,France
2367,France
2368,US
2369,France
2370,Italy
2371,US
2372,US
2373,Portugal
2374,France
2375,US
2376,US
2377,US
2378,US
2379,US
2380,Australia
2381,US
2382,Italy
2383,Italy
2384,Austria
2385,France
2386,US
2387,US
2388,Italy
2389,US
2390,Spain
2391,France
2392,France
2393,US
2394,US
2395,France
2396,Spain
2397,Germany
2398,France
2399,New Zealand
2400,Italy
2401,Austria
2402,Argentina
2403,US
2404,US
2405,Italy
2406,US
2407,Spain
2408,US
2409,Italy
2410,US
2411,US
2412,Spain
2413,Italy
2414,Argentina
2415,Australia
2416,Argentina
2417,Germany
2418,US
2419,US
2420,Italy
2421,Italy
2422,US
2423,Spain
2424,Australia
2425,US
2426,Spain
2427,Italy
2428,US
2429,US
2430,Portugal
2431,US
2432,France
2433,France
2434,France
2435,US
2436,US
2437,France
2438,Portugal
2439,US
2440,US
2441,Italy
2442,Italy
2443,Greece
2444,US
2445,France
2446,US
2447,US
2448,US
2449,US
2450,US
2451,US
2452,US
2453,US
2454,US
2455,Argentina
2456,France
2457,Chile
2458,US
